Timestamp,Detected Object,Emotion
2025-07-13 18:34:05,other,neutral
2025-07-13 18:34:06,other,sad
2025-07-13 18:34:06,other,sad
2025-07-13 18:34:06,other,sad
2025-07-13 18:34:07,other,sad
2025-07-13 18:34:07,other,sad
2025-07-13 18:34:08,other,sad
2025-07-13 18:34:08,other,neutral
2025-07-13 18:34:09,other,neutral
2025-07-13 18:34:09,other,neutral
2025-07-13 18:34:09,other,sad
2025-07-13 18:34:10,other,sad
2025-07-13 18:34:10,other,sad
2025-07-13 18:34:11,other,sad
2025-07-13 18:34:11,other,angry
2025-07-13 18:34:12,other,angry
2025-07-13 18:34:12,other,happy
2025-07-13 18:34:13,other,angry
2025-07-13 18:34:13,other,sad
2025-07-13 18:34:13,other,sad
2025-07-13 18:34:14,other,sad
2025-07-13 18:34:14,other,fear
2025-07-13 18:34:15,other,fear
2025-07-13 18:34:15,other,sad
2025-07-13 18:34:16,cell phone,sad
2025-07-13 18:34:16,other,sad
2025-07-13 18:34:17,other,sad
2025-07-13 18:34:17,other,fear
2025-07-13 18:34:18,other,fear
2025-07-13 18:34:18,other,fear
2025-07-13 18:34:19,other,fear
2025-07-13 18:34:19,cell phone,sad
2025-07-13 18:34:20,cell phone,sad
2025-07-13 18:34:20,cell phone,sad
2025-07-13 18:34:20,cell phone,sad
2025-07-13 18:34:21,other,sad
2025-07-13 18:34:21,other,sad
2025-07-13 18:34:22,other,sad
2025-07-13 18:34:22,other,sad
2025-07-13 18:34:23,other,sad
2025-07-13 18:34:23,other,sad
2025-07-13 18:34:24,other,sad
2025-07-13 18:34:24,other,sad
2025-07-13 18:34:25,other,sad
2025-07-13 18:34:25,other,sad
